	gene_symbol	10.0
221107_at	CHRNA9	-0.000116214084349
221651_x_at	-666	0.000116657981846
213148_at	C2ORF72	0.000116890502707
32402_s_at	SYMPK	0.000117073561943
215278_at	-666	-0.000117121917289
213070_at	PIK3C2A	0.000117212563218
209965_s_at	RAD51D	-0.000117273405209
221411_at	HOXD12	-0.000117328668818
209926_at	MEF2BNB	0.000117447600268
221791_s_at	CCDC72	-0.000117720085009
216045_at	CCDC144A	0.000117778520175
208557_at	HOXA6	-0.000117779745886
209711_at	SLC35D1	0.000118859339617
220863_at	MIP	0.000119478778443
218393_s_at	SMU1	0.000119607366915
207302_at	SGCG	0.000119688175359
220664_at	SPRR2C	-0.000119866460012
207190_at	ZZEF1	-0.000120298924967
221037_s_at	SLC25A31	-0.000120674674225
221243_s_at	-666	-0.00012115387409
208143_s_at	EDDM3A	0.000121277178031
202294_at	STAG1	-0.000121283264493
217430_x_at	COL1A1	-0.000121664202354
221066_at	RXFP3	-0.000121672223672
212260_at	GIGYF2	0.000122879592438
220328_at	PHC3	0.000122975060334
219870_at	ATF7IP2	0.00012304487516
201918_at	SLC25A36	0.000123311199593
211445_x_at	NACAP1	-0.000123540667434
205109_s_at	ARHGEF4	-0.000123649628015
206462_s_at	NTRK3	0.00012372059371
218891_at	C10ORF76	0.000123766294651
203846_at	TRIM32	-0.000123897516901
206463_s_at	DHRS2	-0.000123930022244
215839_at	LILRA5	0.000124101647243
213087_s_at	EEF1D	-0.000124196925234
210037_s_at	NOS2	0.000124281995652
215070_x_at	RABGAP1	0.000124289957592
211417_x_at	GGT1	0.000124969283831
208194_s_at	STAM2	-0.000125206391035
206887_at	CCBP2	0.000125319281931
218485_s_at	SLC35C1	-0.000125438969073
206894_at	APOA4	-0.000125496015356
220104_at	ZC3HAV1	0.000125586341729
204773_at	IL11RA	-0.000125713962139
201597_at	COX7A2	0.000125872983075
204836_at	GLDC	-0.000125917031724
208587_s_at	-666	-0.000126731127715
214985_at	EXT1	0.000126930411051
65770_at	RHOT2	0.000127492375196
207161_at	KIAA0087	0.000127621187648
208395_s_at	URB1	0.000127649334097
204477_at	RABIF	0.000127859913245
209511_at	POLR2F	-0.000127899833241
219903_s_at	CYP2C8	-0.000128404789157
220864_s_at	NDUFA13	-0.000128918956256
207594_s_at	SYNJ1	0.000129897519284
218725_at	SLC25A22	-0.000130144005042
206800_at	MTHFR	-0.000130317601273
204471_at	GAP43	0.000130368675307
220221_at	VPS13D	-0.000130759326005
214516_at	HIST1H4B	0.000130765400522
222132_s_at	AGK	-0.00013164171372
213729_at	PRPF40A	0.000132092267634
202276_at	SHFM1	-0.000132364497414
208635_x_at	NACA	0.000132568524685
219331_s_at	KLHDC8A	0.000132957929129
