	gene_symbol	3.33
207932_at	IFNA8	0.000159564251502
219488_at	A4GALT	0.00016012162446
206329_at	EXTL1	-0.000161885659941
216066_at	ABCA1	0.000162052841301
215210_s_at	DLST	0.000162610365794
216722_at	VENTXP1	-0.00016314619919
201748_s_at	SAFB	-0.000163463916846
213767_at	KSR1	-0.000163875525858
214795_at	ZMYND8	-0.000163894235177
206519_x_at	SIGLEC6	-0.000163920758323
212188_at	KCTD12	0.00016419520654
216829_at	-666	0.000164326599635
216059_at	PAX3	-0.000164829276321
218446_s_at	FAM18B1	-0.00016500900936
203733_at	DEXI	-0.000165693476636
211488_s_at	ITGB8	0.000165755027207
220181_x_at	SLC30A5	0.000165766857157
202663_at	WIPF1	-0.000166496151522
211496_s_at	PDC	-0.000166918201504
200099_s_at	RPS3A	-0.00016723717868
219089_s_at	ZNF576	0.000167372426216
214224_s_at	PIN4	0.000167477380586
212674_s_at	DHX30	0.000167616833856
219149_x_at	DBR1	0.000168116854578
217086_at	CHRNB3	0.000168280510203
209503_s_at	PSMC5	0.000168286723332
206058_at	SLC6A12	0.000168722982796
214780_s_at	MYO9B	-0.000169067948964
216332_at	POU6F1	-0.000169157766411
207487_at	-666	-0.00016917680211
216811_at	-666	0.000169179175891
208927_at	SPOP	0.000169430911496
206869_at	CHAD	0.000169752750763
218181_s_at	MAP4K4	0.000170652121612
220260_at	TBC1D19	0.000171332430265
218402_s_at	HPS4	0.00017162338749
214453_s_at	IFI44	-0.000172127040799
217296_at	KIR2DL1	0.000172414309936
207001_x_at	TSC22D3	-0.000172476298436
212399_s_at	VGLL4	-0.000172478497552
202471_s_at	IDH3G	0.000172501257185
202817_s_at	SS18	0.000173083863074
208475_at	FRMD4A	-0.000173256183057
221709_s_at	ZNF839	-0.000173353499137
206949_s_at	RUSC1	-0.000173612333763
207820_at	ADH1A	0.000174183405459
205250_s_at	CEP290	-0.000174191580189
206926_s_at	IL11	-0.000174200799171
210353_s_at	SLC6A2	-0.000174452549982
209839_at	DNM3	0.000174658570582
209235_at	CLCN7	-0.000174918277357
215094_at	SPICE1	0.000174986357607
215065_at	PHF8	-0.000175024332925
218583_s_at	DCUN1D1	0.000175312747859
204827_s_at	CCNF	0.000176049054965
207534_at	MAGEB1	-0.000176125545747
213209_at	TAF6L	0.00017636831234
217660_at	MYH14	0.000176413629735
215377_at	CTBP2	0.000176766639555
205949_at	CA1	0.000176910387094
208461_at	HIC1	0.000177146428885
208160_at	-666	0.000177348696448
215652_at	SDHD	-0.000177379139886
216453_at	ZNF287	-0.000177443939561
215993_at	-666	0.000177669851001
216158_at	-666	-0.00017796113417
208175_s_at	DMP1	-0.000178013213344
216245_at	IL1RN	0.000178542992518
214824_at	-666	0.000178592279439
217665_at	ZNF813	0.000178620512391
217863_at	PIAS1	0.000178860582872
206594_at	PASK	0.000179216579198
220213_at	TSHZ2	0.00017927877505
210122_at	PRM2	-0.000179344737548
215512_at	MARCH6	0.000179647459605
201471_s_at	SQSTM1	0.000180006048193
221630_s_at	DDX4	-0.000180168159369
208365_s_at	GRK4	0.00018021649363
207164_s_at	ZNF238	0.00018023872993
215524_x_at	-666	-0.000180249081867
203768_s_at	STS	-0.00018054763999
50965_at	RAB26	0.000181679749689
200801_x_at	ACTB	-0.000181880407597
216881_x_at	PRB4	-0.00018198829699
32811_at	MYO1C	0.000182063991963
212679_at	TBL2	-0.000182275748373
206730_at	GRIA3	0.000183431638659
213652_at	PCSK5	-0.000184071796726
206356_s_at	GNAL	0.00018450203944
215999_at	CDRT1	0.000184790333072
206688_s_at	CPSF4	-0.000184925130722
214921_at	KCNMA1	-0.000185059198136
202126_at	PRPF4B	-0.000185170585441
208222_at	ACVR1B	0.000185246665197
204335_at	CCDC94	-0.000185311983154
211996_s_at	-666	-0.000186014392766
214649_s_at	MTMR2	0.000186401499885
215249_at	RPL35A	-0.000186454372824
207228_at	PRKACG	-0.000186582372299
216609_at	TXN	-0.000187099202005
219152_at	PODXL2	0.000187427200855
222348_at	-666	0.000187655490654
220077_at	CCDC134	-0.000188271436335
216185_at	FUT9	0.000188465738939
222211_x_at	SCAND2	0.000188776250567
215967_s_at	LY9	-0.000189114647683
201642_at	IFNGR2	-0.000189200731966
206821_x_at	AGFG2	-0.000189342932102
202630_at	APPBP2	0.000189510281589
210279_at	GPR18	-0.00018959677149
212723_at	JMJD6	-0.000189610094953
215511_at	TCF20	-0.000190197244352
207361_at	HBP1	0.000190602085097
206755_at	CYP2B6	-0.000190626376833
220484_at	MCOLN3	-0.000190629936148
209285_s_at	FAM208A	0.000190769780948
213631_x_at	DHODH	-0.000190791020434
203781_at	MRPL33	-0.000190843511608
220149_at	C2ORF54	-0.000191011084795
