id	RN_Target_Gene_ID	SM_Center_Compound_ID	SM_Dose	SM_Dose_Unit	SM_LINCS_ID	SM_Name	SM_Pert_Type	SM_Time	SM_Time_Unit	det_plate	det_well
MCF10A-ctl_vehicle-13154	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	A04
MCF10A-ctl_vehicle-13155	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	A05
MCF10A-ctl_vehicle-13156	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	A06
MCF10A-ctl_vehicle-13175	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	B03
MCF10A-ctl_vehicle-13176	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	B04
MCF10A-ctl_vehicle-13177	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	B05
MCF10A-ctl_vehicle-13178	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	B06
MCF10A-ctl_vehicle-13275	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	F07
MCF10A-ctl_vehicle-13276	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	F08
MCF10A-ctl_vehicle-13277	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	F09
MCF10A-ctl_vehicle-13278	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	F10
MCF10A-ctl_vehicle-13279	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	F11
MCF10A-ctl_vehicle-13280	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	F12
MCF10A-ctl_vehicle-13377	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	J13
MCF10A-ctl_vehicle-13378	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	J14
MCF10A-ctl_vehicle-13379	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	J15
MCF10A-ctl_vehicle-13380	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	J16
MCF10A-ctl_vehicle-13381	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	J17
MCF10A-ctl_vehicle-13382	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	J18
MCF10A-ctl_vehicle-13479	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	N19
MCF10A-ctl_vehicle-13480	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	N20
MCF10A-ctl_vehicle-13481	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	N21
MCF10A-ctl_vehicle-13482	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	N22
MCF10A-ctl_vehicle-13483	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	N23
MCF10A-ctl_vehicle-13484	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2.A2_B17	N24
MCF10A-ctl_vehicle-13547	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X2_B17	J13
MCF10A-ctl_vehicle-13555	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	A03
MCF10A-ctl_vehicle-13556	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	A04
MCF10A-ctl_vehicle-13557	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	A05
MCF10A-ctl_vehicle-13558	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	A06
MCF10A-ctl_vehicle-13577	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	B03
MCF10A-ctl_vehicle-13578	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	B04
MCF10A-ctl_vehicle-13579	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	B05
MCF10A-ctl_vehicle-13676	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	F07
MCF10A-ctl_vehicle-13677	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	F09
MCF10A-ctl_vehicle-13678	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	F10
MCF10A-ctl_vehicle-13679	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	F11
MCF10A-ctl_vehicle-13680	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	F12
MCF10A-ctl_vehicle-13776	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	J13
MCF10A-ctl_vehicle-13777	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	J14
MCF10A-ctl_vehicle-13778	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	J15
MCF10A-ctl_vehicle-13779	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	J16
MCF10A-ctl_vehicle-13780	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	J17
MCF10A-ctl_vehicle-13781	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	J18
MCF10A-ctl_vehicle-13877	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	N19
MCF10A-ctl_vehicle-13878	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	N20
MCF10A-ctl_vehicle-13879	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	N21
MCF10A-ctl_vehicle-13880	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	N22
MCF10A-ctl_vehicle-13881	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	N23
MCF10A-ctl_vehicle-13882	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	3	h	LJP005_MCF10A_3H_X3_B17	N24
MCF10A-ctl_vehicle-38125	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	A03
MCF10A-ctl_vehicle-38126	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	A04
MCF10A-ctl_vehicle-38127	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	A05
MCF10A-ctl_vehicle-38128	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	A06
MCF10A-ctl_vehicle-38143	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	B03
MCF10A-ctl_vehicle-38144	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	B04
MCF10A-ctl_vehicle-38145	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	B05
MCF10A-ctl_vehicle-38146	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	B06
MCF10A-ctl_vehicle-38243	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	F08
MCF10A-ctl_vehicle-38244	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	F09
MCF10A-ctl_vehicle-38245	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	F10
MCF10A-ctl_vehicle-38246	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	F11
MCF10A-ctl_vehicle-38334	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	J13
MCF10A-ctl_vehicle-38335	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	J14
MCF10A-ctl_vehicle-38336	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	J15
MCF10A-ctl_vehicle-38337	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	J16
MCF10A-ctl_vehicle-38338	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	J17
MCF10A-ctl_vehicle-38339	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	J18
MCF10A-ctl_vehicle-38431	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	N19
MCF10A-ctl_vehicle-38432	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	N20
MCF10A-ctl_vehicle-38433	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	N21
MCF10A-ctl_vehicle-38434	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	N22
MCF10A-ctl_vehicle-38435	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	N23
MCF10A-ctl_vehicle-38436	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X1_B17	N24
MCF10A-ctl_vehicle-38481	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X2_B17	A03
MCF10A-ctl_vehicle-38482	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X2_B17	A04
MCF10A-ctl_vehicle-38483	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X2_B17	A05
MCF10A-ctl_vehicle-38484	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X2_B17	A06
MCF10A-ctl_vehicle-38500	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X2_B17	B03
MCF10A-ctl_vehicle-38501	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X2_B17	B04
MCF10A-ctl_vehicle-38502	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X2_B17	B05
MCF10A-ctl_vehicle-38503	-666	dmso	-666	-666	DMSO	DMSO	ctl_vehicle	24	h	LJP006_MCF10A_24H_X2_B17	B06
