	gene_symbol	1.11
205864_at	SLC7A4	6.90510187879e-05
214772_at	C11ORF41	-6.90728617391e-05
220980_s_at	ADPGK	-6.91611439084e-05
218222_x_at	ARNT	-6.98021157679e-05
215995_x_at	-666	7.0247464221e-05
214128_at	DAGLA	-7.11998207819e-05
211978_x_at	PPIA	7.16928458673e-05
215841_at	GUCA1B	7.17742397825e-05
203161_s_at	RNF8	7.27535888511e-05
214398_s_at	IKBKE	7.35161408868e-05
209279_s_at	NSDHL	7.35306893179e-05
217401_at	-666	-7.36014838683e-05
213780_at	TCHH	7.4018964901e-05
212822_at	HEG1	-7.46028835341e-05
216245_at	IL1RN	7.46160460843e-05
206073_at	COLQ	7.47125096889e-05
207858_s_at	PKLR	-7.48602819027e-05
220871_at	-666	-7.5053595832e-05
209042_s_at	UBE2G2	-7.51009534874e-05
216216_at	SLIT3	7.52378998415e-05
214363_s_at	MATR3	7.58369427502e-05
214599_at	IVL	-7.58834268471e-05
207024_at	CHRND	7.62229651209e-05
203165_s_at	SLC33A1	-7.64804353627e-05
209451_at	TANK	7.66170938386e-05
217828_at	SLTM	-7.6859152789e-05
210189_at	HSPA1L	7.70969546355e-05
212804_s_at	GAPVD1	7.71061412112e-05
213490_s_at	MAP2K2	-7.71950606639e-05
221524_s_at	RRAGD	-7.72390400273e-05
211065_x_at	PFKL	-7.74622272257e-05
208478_s_at	BAX	-7.78303538286e-05
201344_at	UBE2D2	-7.83455636758e-05
221165_s_at	IL22	-7.90081801392e-05
216196_at	-666	7.91708501633e-05
210706_s_at	RNF24	-7.92309940984e-05
215530_at	FANCA	-7.98945107436e-05
210659_at	CMKLR1	-7.99793839048e-05
217559_at	RPL10L	8.03413651035e-05
211279_at	NRF1	-8.08548526969e-05
220843_s_at	DCAF13	8.08942484493e-05
201596_x_at	KRT18	8.15977635001e-05
208462_s_at	ABCC9	8.17227943345e-05
208433_s_at	LRP8	-8.18637874177e-05
215329_s_at	-666	8.20723727108e-05
219877_at	ZMAT4	-8.22759891048e-05
206541_at	KLKB1	-8.24804730478e-05
201946_s_at	CCT2	-8.25195016617e-05
33148_at	ZFR	8.26889440653e-05
215854_at	-666	-8.35050021682e-05
48580_at	CXXC1	8.36865047659e-05
