concentration,MCF10A-GM_(Broad)_72_R1,MCF10A-GM_(HMS)_72_R1,MCF10A-H2B_(HMS)_72_R1,MCF10A-HMS_(HMS)_72_R1,MCF10A-OHSU_(HMS)_72_R1,MCF10A-GM_(HMS)_72_R2,MCF10A-H2B_(HMS)_72_R2,MCF10A-HMS_(HMS)_72_R2,MCF10A-OHSU_(HMS)_72_R2,MCF10A-GM_(HMS)_72_R3,MCF10A-H2B_(HMS)_72_R3,MCF10A-HMS_(HMS)_72_R3,MCF10A-OHSU_(HMS)_72_R3,MCF10A-GM_(DToxS)_72_R1,MCF10A-GM_(DToxS)_72_R2,MCF10A-GM_(Neuro)_72_R1,MCF10A-GM_(Neuro)_72_R2,MCF10A-GM_(Neuro)_72_R3,MCF10A-GM_(MEP)_72_R1,MCF10A-GM_(MEP)_72_R2,Median
0.0281838293126,0.968382415664,0.983333935207,0.941375863399,0.816709441485,0.965794449964,0.98792296115,0.987542894087,0.93718300893,0.982228931423,0.987280716443,0.993189983287,0.749559796805,0.987518878671,0.906171407131,0.709018467049,1.0,1.0,1.0,0.999996117918,0.979211001881,0.979211001881
0.0316227766017,0.965765244753,0.981373488345,0.934862472044,0.801839325131,0.962094142507,0.98563423628,0.984740947299,0.926553852819,0.979654958773,0.985394402719,0.991725922249,0.73575406464,0.985472028984,0.893669992132,0.697631578723,1.0,1.0,1.0,0.999993763079,0.976578251894,0.976578251894
0.0354813389234,0.962942620253,0.97919001847,0.927689730284,0.78612448995,0.95801515592,0.982923539178,0.981324256993,0.914329431665,0.976721110548,0.983235934696,0.989952565119,0.721500436823,0.983098607728,0.879871198728,0.686058598067,1.0,1.0,1.0,0.999989979877,0.973659591497,0.973659591497
0.0398107170553,0.959900322177,0.976760026714,0.919805626721,0.76957451388,0.953523598609,0.979717895136,0.977165605317,0.900341682492,0.973381044287,0.980768442714,0.98780714699,0.706817937319,0.980349708201,0.864737986824,0.674316055472,1.0,1.0,1.0,0.999983902015,0.970436229499,0.970436229499
0.0446683592151,0.956623469907,0.974057997068,0.911157377228,0.75220862587,0.948583628442,0.975933666572,0.972115186406,0.884429141843,0.969583657705,0.977950812491,0.985215373064,0.691729182901,0.977170212398,0.848257875963,0.662421581931,1.0,1.0,1.0,0.99997413795,0.966891244221,0.966891244221
0.0501187233627,0.953096548503,0.971056337229,0.901692247282,0.734056371286,0.943157590706,0.971475790959,0.965998418247,0.866446368197,0.965272971369,0.974737432958,0.98208986488,0.676260356028,0.97349839153,0.830448169355,0.650393815615,1.0,1.0,1.0,0.999958452668,0.9630104695,0.9630104695
0.056234132519,0.949303447558,0.967725349622,0.891358562414,0.715158068084,0.937206227439,0.966237314449,0.958614487558,0.846275401782,0.960388138774,0.971078010041,0.978328670007,0.66044111802,0.969265628547,0.811360483401,0.638252294682,1.0,1.0,1.0,0.999933257074,0.958783472151,0.958783472151
0.063095734448,0.945227514453,0.9640332423,0.880106915979,0.695565006985,0.93068897068,0.960099400238,0.949736209883,0.823838848317,0.954863629695,0.966917479497,0.973813998431,0.644304460001,0.964396328947,0.791084007062,0.626017337447,1.0,1.0,1.0,0.999892789257,0.954204582477,0.954204582477
0.0707945784384,0.940851623949,0.95994619096,0.867891575201,0.675339355646,0.923564332424,0.952932040529,0.939111986547,0.799113752431,0.948629640459,0.962196059754,0.968411425696,0.62788649078,0.958808103053,0.769746912995,0.613709911369,1.0,1.0,1.0,0.999827803339,0.949273922464,0.949273922464
0.0794328234724,0.936158266077,0.955428464868,0.854672075253,0.654553737526,0.915790403682,0.944595749649,0.926470836595,0.772144961251,0.941612791498,0.956849493973,0.961969897199,0.611226162729,0.952412320305,0.747515430408,0.601351492548,1.0,1.0,1.0,0.999723473818,0.943998359861,0.943998359861
0.0891250938134,0.931129654298,0.950442630852,0.840414976959,0.633290470472,0.907325473761,0.934944553263,0.9115316188,0.743056261209,0.933737176848,0.950809538397,0.954322974037,0.594364938724,0.945115151737,0.724590278003,0.588963917702,1.0,1.0,1.0,0.99955605662,0.938392303343,0.938392303343
0.1,0.92574785579,0.944949850583,0.825095746752,0.611640467247,0.89812877852,0.923830598852,0.894017543355,0.712057331325,0.924925830265,0.944004760443,0.945291863725,0.577346405217,0.936819227424,0.701200432431,0.576569230746,1.0,1.0,1.0,0.999287596425,0.93247824735,0.93247824735
0.11220184543,0.919994945576,0.938910286844,0.808700698628,0.589701819209,0.888161382583,0.911110673484,0.873676775773,0.679444634509,0.915102666133,0.936361713283,0.934690851093,0.560215838437,0.927426036364,0.677594536956,0.564189526244,1.0,1.0,1.0,0.998857606878,0.926286978344,0.926286978344
0.125892541179,0.913853185919,0.932283634149,0.791228918039,0.567578103557,0.87738719522,0.896654800254,0.850309212423,0.645594866928,0.904194937603,0.927806551654,0.922335740482,0.54301973247,0.916839180948,0.65403057954,0.551846792108,1.0,1.0,1.0,0.998170170698,0.919857369373,0.919857369373
0.141253754462,0.907305232004,0.925029787584,0.772694069104,0.545376472355,0.865774112537,0.880356868847,0.823798253585,0.610950511179,0.892136226881,0.918267143838,0.908055778407,0.525805299408,0.904968559626,0.630764724238,0.539562753897,1.0,1.0,1.0,0.997074391648,0.913235717791,0.913235717791
0.158489319246,0.900334364405,0.91710966069,0.753125971168,0.523205596176,0.853295269909,0.862146923639,0.794144646575,0.575998262433,0.878869941144,0.907675714191,0.891709175691,0.508619952856,0.891735482708,0.608040309064,0.527358723064,1.0,1.0,1.0,0.995335914935,0.906474620076,0.906474620076
0.177827941004,0.892924748142,0.908486158353,0.732571821631,0.501173545252,0.839930378254,0.842004294792,0.76149749776,0.54124235879,0.86435323147,0.895972016655,0.873201734395,0.491510786751,0.877078622585,0.586077997836,0.515255451375,1.0,1.0,1.0,0.992598281917,0.899631423779,0.899631423779
0.199526231497,0.88506171728,0.899125303553,0.711096941579,0.479385695381,0.825667106237,0.819970265118,0.726175954004,0.50717582461,0.848561182873,0.88310699052,0.852507206563,0.474524061615,0.860960561198,0.565067898876,0.503272993581,1.0,1.0,1.0,0.988337482711,0.892766343303,0.892766343303
0.223872113857,0.876732083017,0.888997507361,0.688784931508,0.457942744117,0.810502458515,0.79615852081,0.688674664495,0.474253052095,0.831491046046,0.869046785377,0.829686973513,0.457704710094,0.843374532951,0.545164179207,0.491430580202,1.0,1.0,1.0,0.981825552308,0.885940365951,0.885940365951
0.251188643151,0.867924462042,0.878078959761,0.665737147641,0.436938915086,0.794444088611,0.7707613848,0.649647718421,0.442866878286,0.813166204404,0.853776965677,0.804905684694,0.441095872841,0.824350790397,0.526482369808,0.479746502057,1.0,1.0,1.0,0.972144642079,0.87921310057,0.87921310057
